Feature,Importance
cat__ST_Slope_Up,0.13327187211900812
cat__ST_Slope_Flat,0.08951728165322309
cat__ChestPainType_ASY,0.07570159909228635
num__Oldpeak,0.07279101741588212
num__MaxHR,0.06619289783236772
num__Cholesterol_Age_Ratio,0.06587117374956757
num__MaxHR_Age_Ratio,0.06163283721879716
num__Cholesterol,0.06153646969024577
cat__ExerciseAngina_Y,0.05147058684563187
num__BP_Age_Ratio,0.050830616709620885
cat__ExerciseAngina_N,0.05053545997249121
num__Age,0.04440968861059932
num__RestingBP,0.041292800355291426
cat__ChestPainType_ATA,0.019226745904339784
cat__Sex_M,0.017708186345221342
num__Heart_Stress,0.01769700803254615
cat__Sex_F,0.017033033175442247
num__FastingBS,0.013812885184390842
cat__ChestPainType_NAP,0.012777024593370429
cat__RestingECG_LVH,0.01087305610729713
cat__RestingECG_Normal,0.008818650654622204
cat__RestingECG_ST,0.006798522567950864
cat__ST_Slope_Down,0.005921536759252158
cat__ChestPainType_TA,0.0042790494105542825
