CustomerID,Age,MonthlyCharges,ContractMonths,SupportCalls,Churn
1001,22,30,2,5,1
1002,45,85,24,0,0
1003,36,70,12,2,0
1004,29,95,3,6,1
1005,51,60,36,1,0
1006,33,110,4,7,1
1007,40,55,18,2,0
1008,27,98,5,5,1
1009,49,65,30,1,0
1010,31,90,6,4,1
1011,42,50,24,1,0
1012,26,105,2,8,1
1013,38,72,15,2,0
1014,30,92,7,4,1
1015,47,58,28,0,0
1016,35,80,10,3,0
1017,24,115,1,9,1
1018,55,48,40,0,0
1019,39,75,14,2,0
1020,28,100,4,6,1
1021,44,62,22,1,0
1022,32,88,8,4,1
1023,50,52,35,0,0
1024,29,97,5,6,1
1025,37,68,16,2,0
1026,23,120,2,8,1
1027,48,56,32,1,0
1028,34,82,11,3,0
1029,27,108,3,7,1
1030,53,46,42,0,0
1031,41,64,21,1,0
1032,25,112,2,8,1
1033,36,74,13,2,0
1034,31,94,6,5,1
1035,46,59,27,1,0
1036,33,86,9,3,0
1037,26,118,1,9,1
1038,52,50,38,0,0
1039,38,71,17,2,0
1040,29,99,4,6,1
1041,43,63,23,1,0
1042,24,116,2,8,1
1043,35,79,12,3,0
1044,30,93,5,5,1
1045,49,57,31,0,0
1046,37,73,15,2,0
1047,28,104,3,7,1
1048,54,47,39,0,0
1049,40,67,20,1,0
1050,27,111,2,8,1
