CustomerID,Age,MonthlyCharges,ContractMonths,SupportCalls,InternetUsage,PaymentDelay,CustomerSatisfaction,Churn
3001,25,85,6,5,420,3,4,1
3002,44,90,24,2,300,1,8,0
3003,31,70,12,4,350,2,6,1
3004,52,65,36,1,120,0,9,0
3005,28,95,8,3,500,4,5,1
3006,39,75,18,3,280,2,7,0
3007,46,88,20,5,410,3,6,1
3008,33,60,30,1,200,0,8,0
3009,29,105,4,7,550,6,3,1
3010,55,55,42,0,90,0,10,0
3011,36,78,14,2,260,1,7,0
3012,23,115,3,8,620,8,2,1
3013,48,68,28,1,150,0,9,0
3014,41,92,10,6,390,5,4,1
3015,34,82,16,3,310,2,6,0
3016,27,100,5,4,470,4,5,1
3017,50,72,34,2,170,1,8,0
3018,38,86,11,5,360,3,5,1
3019,30,76,22,2,250,1,7,0
3020,45,98,7,6,450,5,4,1
3021,26,89,9,4,400,3,6,1
3022,53,61,38,1,110,0,9,0
3023,37,83,13,3,330,2,7,0
3024,32,108,6,7,580,7,3,1
3025,47,74,26,2,190,1,8,0
3026,29,91,15,5,370,4,5,1
3027,40,69,32,1,140,0,9,0
3028,35,97,8,6,460,5,4,1
3029,51,80,21,2,220,2,7,0
3030,24,118,2,9,650,9,2,1
3031,43,73,25,2,180,1,8,0
3032,28,87,10,4,340,3,6,1
3033,56,58,45,0,80,0,10,0
3034,39,94,12,5,430,4,5,1
3035,33,79,19,3,270,2,7,0
3036,49,101,9,6,520,6,4,1
3037,31,67,27,1,160,0,8,0
3038,42,84,17,4,300,3,6,1
3039,27,93,5,5,490,4,5,1
3040,54,63,40,0,100,0,9,0
